deaths,cases,Country,Date
0,1,Spain,05/02/15
2920,8063,Sierra Leone,05/02/15
,1,United Kingdom,05/02/15
0,1,Senegal,05/02/15
,3143,Liberia,05/02/15
1600,2621,Guinea,05/02/15
,7,Mali,05/02/15
7,19,Nigeria,05/02/15
1,4,United States of America,05/02/15
0,1,Senegal,06/02/15
2935,8084,Sierra Leone,06/02/15
,3143,Liberia,06/02/15
1,4,United States of America,06/02/15
1608,2628,Guinea,06/02/15
,1,United Kingdom,06/02/15
,7,Mali,06/02/15
0,1,Spain,06/02/15
7,19,Nigeria,06/02/15
3826,3146,Liberia,10/02/15
2975,8135,Sierra Leone,10/02/15
1,4,United States of America,10/02/15
,7,Mali,10/02/15
0,1,Spain,10/02/15
,1,United Kingdom,10/02/15
1643,2674,Guinea,10/02/15
7,19,Nigeria,10/02/15
0,1,Senegal,10/02/15
7,19,Nigeria,11/02/15
,7,Mali,11/02/15
0,1,Senegal,11/02/15
3826,3146,Liberia,11/02/15
,1,United Kingdom,11/02/15
1643,2674,Guinea,11/02/15
2975,8135,Sierra Leone,11/02/15
1,4,United States of America,11/02/15
0,1,Spain,11/02/15
,7,Mali,12/02/15
1651,2685,Guinea,12/02/15
3826,3146,Liberia,12/02/15
1,4,United States of America,12/02/15
0,1,Senegal,12/02/15
7,19,Nigeria,12/02/15
0,1,Spain,12/02/15
2984,8138,Sierra Leone,12/02/15
,1,United Kingdom,12/02/15
7,19,Nigeria,13/02/15
0,1,Senegal,13/02/15
3858,3147,Liberia,13/02/15
2997,8155,Sierra Leone,13/02/15
0,1,Spain,13/02/15
,7,Mali,13/02/15
1,4,United States of America,13/02/15
1659,2693,Guinea,13/02/15
,1,United Kingdom,13/02/15
0,1,Spain,16/02/15
,7,Mali,16/02/15
7,19,Nigeria,16/02/15
,1,United Kingdom,16/02/15
1678,2720,Guinea,16/02/15
1,4,United States of America,16/02/15
0,1,Senegal,16/02/15
3035,8199,Sierra Leone,16/02/15
,3149,Liberia,16/02/15
3042,8212,Sierra Leone,17/02/15
0,1,Senegal,17/02/15
